N_Series,Series_ID,Horizon,MAE,RMSE
370,MT_247,96,20.2357638267753,27.567386136431022
370,MT_248,96,8.313036990086285,9.918235328131448
370,MT_249,96,6.240766990752449,7.464078842728019
370,MT_250,96,4.514442149360849,5.8640323072774025
370,MT_251,96,4.168513012276434,5.8891138340855145
370,MT_252,96,10.485553670270797,14.50195720646776
370,MT_253,96,14.176630890687639,17.33410777472934
370,MT_254,96,15.263076248778583,22.077226947661686
370,MT_255,96,42.00823871444611,90.31598771168701
370,MT_256,96,12.881358148987838,16.376001327374624
370,MT_257,96,9.750112113160878,12.112887816290893
370,MT_258,96,6.199944515834932,7.7157147932201555
370,MT_259,96,7.655780749678833,10.662911290790493
370,MT_260,96,9.368360445385889,13.605255627293344
370,MT_261,96,4.348299152120596,7.035200239922161
370,MT_262,96,8.750722177846244,14.337835313930391
370,MT_263,96,6.576779797904838,9.493881259503356
370,MT_264,96,10.528570717360038,13.93491843797114
370,MT_265,96,10.268013697982704,13.23604927591188
370,MT_266,96,13.268290260925497,18.715021542915245
370,MT_267,96,2.730078409576741,3.5769726472042542
370,MT_268,96,11.681562656659928,15.91534925264704
370,MT_269,96,42.639918490818594,58.77894895043056
370,MT_270,96,6.027105979794136,8.241260670667925
370,MT_271,96,6.526598788900756,8.84667706451537
370,MT_272,96,3.9479033645354136,5.400147673073238
370,MT_273,96,22.59230500346312,29.793981634604407
370,MT_274,96,13.196650696787636,17.234297298428327
370,MT_275,96,4.465466251871504,5.976919429675999
370,MT_276,96,57.69614889440796,76.93995473187762
370,MT_277,96,3.594758359341965,5.036623242103815
370,MT_278,96,2.0113354169886826,2.6257705335081623
370,MT_279,96,858.8846164279481,1301.721951514788
370,MT_280,96,12.273358386239849,19.689023736135088
370,MT_281,96,4.18360490597253,5.938720557503401
370,MT_282,96,4.78693653157342,8.832380077379042
370,MT_283,96,11.72491460708357,15.29138176332842
370,MT_284,96,6.056183073056572,8.01176344197063
370,MT_285,96,3.3406011133710485,5.316218185001224
370,MT_286,96,5.639949618617422,8.622876454036572
370,MT_287,96,8.795854430186132,13.560127993170296
370,MT_288,96,10.709197427621215,13.031357024786622
370,MT_289,96,8.11186395302232,11.205798991669923
370,MT_290,96,30.024497896121346,40.818704447775964
370,MT_291,96,4.8100673202155315,6.630724200889795
370,MT_292,96,18.41341823810379,24.723214993094405
370,MT_293,96,6.461244042459097,9.4566754543302
370,MT_294,96,33.87713894543347,46.55569469723292
370,MT_295,96,18.41073181255752,31.247660797236055
370,MT_296,96,5.030412494082154,8.09659566361202
370,MT_297,96,7.769132329129625,10.587497368669109
370,MT_298,96,59.193845711502746,82.49978978525255
370,MT_299,96,32.53671373930305,44.99838540191773
370,MT_300,96,3.4212529724838134,4.591767353693872
370,MT_301,96,7.246492865074603,11.81419369644175
370,MT_302,96,12.45707328839139,16.63536557274193
370,MT_303,96,5.199256613256149,8.083398460828779
370,MT_304,96,3.7896136906261098,5.584721160749343
370,MT_305,96,4.544392498180623,5.558221182158252
370,MT_306,96,4.582274594864024,7.3378984844529755
370,MT_307,96,42.37696973686541,80.12647003410896
370,MT_308,96,2.929048330980406,4.016142108465278
370,MT_309,96,17.823348759967057,23.81599793896931
370,MT_310,96,38.762731574932396,53.74133922081274
370,MT_311,96,14.232487017006152,18.5843896014976
370,MT_312,96,35.43194076750013,42.60007122468126
370,MT_313,96,7.317517203799724,10.254348910580623
370,MT_314,96,35.90410307552145,50.212927576481704
370,MT_315,96,2.8276511619693916,4.220010843145618
370,MT_316,96,13.631227602455178,17.320831431637338
370,MT_317,96,20.18620357868775,28.33311533922061
370,MT_318,96,6.667222057789837,10.051495176222396
370,MT_319,96,3.673893006351612,5.080053196278327
370,MT_320,96,7.123976258352691,10.837925946109095
370,MT_321,96,5.807128937729515,8.11561664555914
370,MT_322,96,4.474349449712808,6.053474411325361
370,MT_323,96,83.58392338636476,125.72625632403363
370,MT_324,96,16.972031288863324,21.77086552341557
370,MT_325,96,11.996465420151571,16.530781156375905
370,MT_326,96,10.818655688467365,14.363943380522256
370,MT_327,96,26.98780451096906,37.827868715779545
370,MT_328,96,42.117084620910795,59.095724331744655
370,MT_329,96,11.089760322196753,13.755632282749724
370,MT_330,96,3.663193845748902,5.203815175484909
370,MT_331,96,7.512806983641618,11.810765857825233
370,MT_332,96,13.482518179082675,20.316262830167425
370,MT_333,96,6.624315064797298,10.002164924455505
370,MT_334,96,5.427686891888752,7.174824155223845
370,MT_335,96,2.3561495553127734,6.368802988459199
370,MT_336,96,5.494210975376661,7.2135244933450515
