Model,Series_ID,Horizon,MAE,RMSE
Chronos-2,MT_285,96,3.3406011133710485,5.316218185001224
Chronos-2,MT_286,96,5.639949618617422,8.622876454036572
Chronos-2,MT_287,96,8.795854430186132,13.560127993170296
Chronos-2,MT_288,96,10.709197427621215,13.031357024786622
Chronos-2,MT_289,96,8.11186395302232,11.205798991669923
Chronos-2,MT_290,96,30.024497896121346,40.818704447775964
Chronos-2,MT_291,96,4.8100673202155315,6.630724200889795
Chronos-2,MT_292,96,18.41341823810379,24.723214993094405
Chronos-2,MT_293,96,6.461244042459097,9.4566754543302
Chronos-2,MT_294,96,33.87713894543347,46.55569469723292
Chronos-2,MT_295,96,18.41073181255752,31.247660797236055
Chronos-2,MT_296,96,5.030412494082154,8.09659566361202
Chronos-2,MT_297,96,7.769132329129625,10.587497368669109
Chronos-2,MT_298,96,59.193845711502746,82.49978978525255
Chronos-2,MT_299,96,32.53671373930305,44.99838540191773
Chronos-2,MT_300,96,3.4212529724838134,4.591767353693872
Chronos-2,MT_301,96,7.246492865074603,11.81419369644175
Chronos-2,MT_302,96,12.45707328839139,16.63536557274193
Chronos-2,MT_303,96,5.199256613256149,8.083398460828779
Chronos-2,MT_304,96,3.7896136906261098,5.584721160749343
Chronos-2,MT_305,96,4.544392498180623,5.558221182158252
Chronos-2,MT_306,96,4.582274594864024,7.3378984844529755
Chronos-2,MT_307,96,42.37696973686541,80.12647003410896
Chronos-2,MT_308,96,2.929048330980406,4.016142108465278
Chronos-2,MT_309,96,17.823348759967057,23.81599793896931
Chronos-2,MT_310,96,38.762731574932396,53.74133922081274
Chronos-2,MT_311,96,14.232487017006152,18.5843896014976
Chronos-2,MT_312,96,35.43194076750013,42.60007122468126
Chronos-2,MT_313,96,7.317517203799724,10.254348910580623
Chronos-2,MT_314,96,35.90410307552145,50.212927576481704
Chronos-2,MT_315,96,2.8276511619693916,4.220010843145618
Chronos-2,MT_316,96,13.631227602455178,17.320831431637338
Chronos-2,MT_317,96,20.18620357868775,28.33311533922061
Chronos-2,MT_318,96,6.667222057789837,10.051495176222396
Chronos-2,MT_319,96,3.673893006351612,5.080053196278327
Chronos-2,MT_320,96,7.123976258352691,10.837925946109095
Chronos-2,MT_321,96,5.807128937729515,8.11561664555914
Chronos-2,MT_322,96,4.474349449712808,6.053474411325361
Chronos-2,MT_323,96,83.58392338636476,125.72625632403363
Chronos-2,MT_324,96,16.972031288863324,21.77086552341557
Chronos-2,MT_325,96,11.996465420151571,16.530781156375905
Chronos-2,MT_326,96,10.818655688467365,14.363943380522256
Chronos-2,MT_327,96,26.98780451096906,37.827868715779545
Chronos-2,MT_328,96,42.117084620910795,59.095724331744655
Chronos-2,MT_329,96,11.089760322196753,13.755632282749724
Chronos-2,MT_330,96,3.663193845748902,5.203815175484909
Chronos-2,MT_331,96,7.512806983641618,11.810765857825233
Chronos-2,MT_332,96,13.482518179082675,20.316262830167425
Chronos-2,MT_333,96,6.624315064797298,10.002164924455505
Chronos-2,MT_334,96,5.427686891888752,7.174824155223845
Chronos-2,MT_335,96,2.3561495553127734,6.368802988459199
Chronos-2,MT_336,96,5.494210975376661,7.2135244933450515
Chronos-2,MT_337,96,20.128659426480848,25.09911951736497
Chronos-2,MT_338,96,18.248696697738737,25.071073446073306
Chronos-2,MT_339,96,89.21098292487765,147.2312471699376
Chronos-2,MT_340,96,12.438369368749926,20.85080562533043
Chronos-2,MT_341,96,55.761005850022705,100.89992950130838
Chronos-2,MT_342,96,30.53554611319505,44.395937390860006
Chronos-2,MT_343,96,10.291166176093894,15.586409363000076
Chronos-2,MT_344,96,27.17241109177246,44.57829307989206
Chronos-2,MT_345,96,126.95236573088755,276.31714572115806
Chronos-2,MT_346,96,21.66825917478019,36.920483199645155
Chronos-2,MT_347,96,2.124272905622972,3.6571920506966697
Chronos-2,MT_348,96,8.488604707237263,14.45893937509471
Chronos-2,MT_349,96,49.7373106796257,77.53694088696938
Chronos-2,MT_350,96,95.7383697962088,147.36105167658894
Chronos-2,MT_351,96,145.12406532852745,233.79626980648035
Chronos-2,MT_352,96,13.437213089696217,18.612023877923992
Chronos-2,MT_353,96,28.48675069366489,39.16116758537459
Chronos-2,MT_354,96,21.486967837324816,33.53276377971174
Chronos-2,MT_355,96,35.76401874149343,73.2635849838621
Chronos-2,MT_356,96,15.817716333293113,29.722761924605997
Chronos-2,MT_357,96,164.26851840934353,298.8404403880443
